reference,statement,sourcefile,line,location
§deqm-01,Composite Measures SHALL conform to the CQMCompositeMeasure profile,input/pages/composite-measures.md,10,Markdown narrative
§deqm-02,Composite Measures SHALL specify a composite measure scoring method,input/pages/composite-measures.md,11,Markdown narrative
§deqm-03,"The keywords SHALL, SHALL NOT, SHOULD, SHOULD NOT, MAY, and NEED NOT in this document are to be interpreted as defined in [RFC 2119](https://www.ietf.org/rfc/rfc2119.txt).",input/pages/introduction.md,42,Markdown narrative
§deqm-04,* SHALL: an absolute requirement for all implementations,input/pages/introduction.md,44,Markdown narrative
§deqm-05,* SHALL NOT: an absolute prohibition against inclusion for all implementations,input/pages/introduction.md,45,Markdown narrative
§deqm-06,"* SHOULD/SHOULD NOT: a best practice or recommendation to be considered by implementers within the context of their particular implementation; there may be valid reasons to ignore an item, but the full implications must be understood and carefully weighed before choosing a different course",input/pages/introduction.md,46,Markdown narrative
§deqm-07,* MAY/NEED NOT: truly optional; can be included or omitted as the implementer decides with no implications,input/pages/introduction.md,47,Markdown narrative
§deqm-08,FHIR-based quality measures SHALL consist of a FHIR Measure resource conforming to at least the [CRMIShareableMeasure profile]({{site.data.fhir.ver.crmi}}/StructureDefinition-crmi-shareablemeasure.html).,input/pages/measure-conformance.md,60,Markdown narrative
§deqm-09,"In addition, measures with a status of active SHALL conform to the [CRMIPublishableMeasure profile]({{site.data.fhir.ver.crmi}}/StructureDefinition-crmi-publishablemeasure.html) in particular.",input/pages/measure-conformance.md,61,Markdown narrative
§deqm-10,FHIR-based measures SHALL contain a narrative containing a human-readable representation of the measure content.,input/pages/measure-conformance.md,62,Markdown narrative
§deqm-11,"Note that for string-valued description elements, these elements are markdown valued in future versions so systems SHOULD be able to render markdown content when it appears in these elements:",input/pages/measure-conformance.md,66,Markdown narrative
§deqm-12,FHIR-based measures that make use of CQL SHALL use the [CQLLibrary](http://hl7.org/fhir/uv/cql/StructureDefinition/cql-library) profile.,input/pages/measure-conformance.md,107,Markdown narrative
§deqm-13,"FHIR-based measures that use CQL MAY reference other CQL libraries, but only the primary measure library is specified in the library element of the measure.",input/pages/measure-conformance.md,108,Markdown narrative
§deqm-14,"To support implementations that cannot compile CQL, an ELM translation SHOULD be provided, in either XML or JSON format.",input/pages/measure-conformance.md,212,Markdown narrative
§deqm-15,FHIR-based measures that make use of ELM SHALL use the [ELMLibrary](http://hl7.org/fhir/uv/cql/StructureDefinition/elm-xml-library) or [ELMJSONLibrary](http://hl7.org/fhir/uv/cql/StructureDefinition/elm-json-library) profile.,input/pages/measure-conformance.md,213,Markdown narrative
§deqm-16,"When ELM translations are provided, they SHALL be semantically equivalent to the corresponding CQL library",input/pages/measure-conformance.md,214,Markdown narrative
§deqm-17,SHALL reference exactly one expression.,input/pages/measure-conformance.md,580,Markdown narrative
§deqm-18,SHALL reference the same library.,input/pages/measure-conformance.md,581,Markdown narrative
§deqm-19,"For measures that use CQL, references to expressions SHALL use the `text/cql-identifier` media type defined in the [CQL specification](https://cql.hl7.org/07-physicalrepresentation.html#media-types-and-namespaces).",input/pages/measure-conformance.md,582,Markdown narrative
§deqm-20,The name of an expression specifying a population criteria within a measure SHOULD always be the name of the criteria type††:,input/pages/measure-conformance.md,593,Markdown narrative
§deqm-21,"The [`cqm-populationBasis`](StructureDefinition-cqm-populationBasis.html) extension SHALL be used to identify the result type of population criteria used in the measure, group, or population",input/pages/measure-conformance.md,639,Markdown narrative
§deqm-22,"Expressions used in population criteria SHALL have a return type as specified by the populationBasis for the measure, group, or population.",input/pages/measure-conformance.md,640,Markdown narrative
§deqm-23,"If a DataRequirement is used to specify an allowed type for a population, the `type` SHALL be present and `profile`, and `codeFilter` elements MAY be present.",input/pages/measure-conformance.md,643,Markdown narrative
§deqm-24,Other elements SHALL NOT be present.,input/pages/measure-conformance.md,643,Markdown narrative
§deqm-25,"If a DataRequirement is used to specify an allowed type for a population, instances SHALL be:",input/pages/measure-conformance.md,644,Markdown narrative
§deqm-26,"Expressions used as measure population criteria SHALL be evaluated taking relevant dependencies into account, as specified by the membership determination formulas defined for each scoring type.",input/pages/measure-conformance.md,724,Markdown narrative
§deqm-27,Expressions MAY include explicit criteria that duplicate the implicit measure population dependencies.,input/pages/measure-conformance.md,725,Markdown narrative
§deqm-28,Expressions SHALL use a FHIR resource type (e.g.,input/pages/measure-conformance.md,726,Markdown narrative
§deqm-29,"Patient) as the context, and SHALL be expressed within the context of a single subject record of that type.",input/pages/measure-conformance.md,726,Markdown narrative
§deqm-30,Proportion measures SHALL conform to the [CQM Proportion Measure](StructureDefinition-cqm-proportionmeasure.html) profile.,input/pages/measure-conformance.md,796,Markdown narrative
§deqm-31,Population criteria SHALL each reference a single expression as defined by [Conformance Requirement 3.8](#conformance-requirement-3-8).,input/pages/measure-conformance.md,797,Markdown narrative
§deqm-32,Expressions for subject-based measures SHALL return a Boolean to indicate whether a patient matches the population criteria (true) or not (false).,input/pages/measure-conformance.md,798,Markdown narrative
§deqm-33,"Expressions for non-subject-based measures SHALL return a List of events of the same type, such as an Encounter or Procedure.",input/pages/measure-conformance.md,799,Markdown narrative
§deqm-34,Ratio measures SHALL conform to the [CQM Ratio Measure](StructureDefinition-cqm-ratiomeasure.html) profile.,input/pages/measure-conformance.md,929,Markdown narrative
§deqm-35,Population criteria SHALL each reference a single expression as defined by [Conformance Requirement 3.8](#conformance-requirement-3-8).,input/pages/measure-conformance.md,930,Markdown narrative
§deqm-36,"measure-observation criteria SHALL reference expressions as defined by [Conformance Requirement 3.14](#conformance-requirement-3-14), with the exception that instead of a measure-population, the criteriaReference element SHALL reference a numerator or denominator criteria.",input/pages/measure-conformance.md,931,Markdown narrative
§deqm-37,Expressions for subject-based criteria SHALL return a Boolean to indicate whether a patient matches the population criteria (true) or not (false).,input/pages/measure-conformance.md,932,Markdown narrative
§deqm-38,"Expressions for non-subject-based criteria SHALL return a List of events of the same type, such as an Encounter or Procedure.",input/pages/measure-conformance.md,933,Markdown narrative
§deqm-39,Population basis SHALL be consistent across denominator and numerator criteria:,input/pages/measure-conformance.md,934,Markdown narrative
§deqm-40,Population basis SHALL be specified on each initial-population criteria if it is different from the population basis for the group or measure.,input/pages/measure-conformance.md,935,Markdown narrative
§deqm-41,"Criteria reference SHALL be specified on denominator, denominator exclusion, numerator, numerator exclusion, and measure observation criteria if the input source is different for the denominator and numerator criteria sets.",input/pages/measure-conformance.md,936,Markdown narrative
§deqm-42,Continuous variable measures SHALL conform to the [CQM Continuous Variable Measure](StructureDefinition-cqm-cvmeasure.html) profile.,input/pages/measure-conformance.md,1169,Markdown narrative
§deqm-43,Population criteria SHALL each reference a single expression as defined by [Conformance Requirement 3.8](#conformance-requirement-3-8).,input/pages/measure-conformance.md,1170,Markdown narrative
§deqm-44,The aggregateMethod extension SHALL be used on the measureObservation criteria to indicate the aggregate method for the observations.,input/pages/measure-conformance.md,1171,Markdown narrative
§deqm-45,Expressions referenced from measure-observation criteria elements SHALL be consistent with the context used for the population criteria of the measure.,input/pages/measure-conformance.md,1171,Markdown narrative
§deqm-46,The population element of a measure-observation criteria SHALL contain a criteriaReference extension that refers to the population criteria within the same population group that is the target population criteria for the measure-observation,input/pages/measure-conformance.md,1172,Markdown narrative
